cgm628-0029-0002	images/cgm628-0029-0002.png	in gottmortleidn maine smoltzn in seine gepraucht	cgm628	train
cgm628-0029-0003	images/cgm628-0029-0003.png	gutwilligen welkome lautter leütten an hang ein got vnd got mainen das mainen ist beleibt in seiner stillikait	cgm628	train
cgm628-0029-0004	images/cgm628-0029-0004.png	et ynaleich den daz man vngehindert seines werthes	cgm628	train
cgm628-0029-0005	images/cgm628-0029-0005.png	nach aufwediger weib heisset doch dyenem ynwedigen dienet	cgm628	val
cgm628-0029-0006	images/cgm628-0029-0006.png	got name alz lauffy vnd alle dy aufwedigen werck den daz ist am gegenwirtig das kains alz klains werkt	cgm628	train
cgm628-0029-0007	images/cgm628-0029-0007.png	vnwechst auffechende pawm als es dienet als herr das	cgm628	train
cgm628-0029-0008	images/cgm628-0029-0008.png	mit der inwendikeit hat er es alles am stuk averklert	cgm628	train
cgm628-0029-0009	images/cgm628-0029-0009.png	am geprauchen vnd auch am schawlen alle die die mainung	cgm628	val
cgm628-0029-0010	images/cgm628-0029-0010.png	auch zu wirken aus de selben	cgm628	train
cgm628-0029-0011	images/cgm628-0029-0011.png	in das ped do verpflegt er krist corpus militis dei	cgm628	train
cgm628-0029-0012	images/cgm628-0029-0012.png	genwurdig alz am pfincztag char lung alz am osterma der geystleichs leichua von daz	cgm628	train
cgm628-0029-0013	images/cgm628-0029-0013.png	ander im hat dy wirth all haubt in dem leichnam	cgm628	train
cgm628-0029-0014	images/cgm628-0029-0014.png	nach der anweysug des maisters vn er wirket selb sind wol geilder saz any ist sin aun daz sicht allen den	cgm628	train
cgm628-0029-0015	images/cgm628-0029-0015.png	dar dan behend kleistin so	cgm628	train
cgm628-0029-0016	images/cgm628-0029-0016.png	form vn darnach vinb nut den leisten vor vngut sin	cgm628	train
cgm628-0029-0017	images/cgm628-0029-0017.png	in dan alle die werck vnd es selbers also ist dy hande	cgm628	train
cgm628-0029-0018	images/cgm628-0029-0018.png	kaisst doch vo derselbn aus der frucht vndalso vil vond	cgm628	train
cgm628-0029-0019	images/cgm628-0029-0019.png	weysheit vn maisterschafft mainczerlay gelider vnd daz alles daz sy habn gewinn ain vedis hat sein kinder	cgm628	train
cgm628-0029-0020	images/cgm628-0029-0020.png	het daz er es allain hab getan weret vnd das alles gehort	cgm628	train
cgm628-0029-0021	images/cgm628-0029-0021.png	vn haisst alles sein wo dez gar aine werde leidigu vn	cgm628	train
cgm628-0029-0022	images/cgm628-0029-0022.png	gepoch wegen und wo seinem vnder daz ander also ist am weyss so ist augeleicher in aller der cristenhait kain	cgm628	train
cgm628-0029-0023	images/cgm628-0029-0023.png	sein den dez der so mit der hant geworcht habn also ewer?t so klain noch so schno? noch globn noch beiden	cgm628	train
cgm628-0029-0024	images/cgm628-0029-0024.png	es trene alles aw mal an	cgm628	train
cgm628-0029-0025	images/cgm628-0029-0025.png	seine geprauchen vnd mit dysen inwedigen werck das	cgm628	train
cgm628-0029-0026	images/cgm628-0029-0026.png	so ubersicht er behendikelichen	cgm628	train
cgm628-0029-0027	images/cgm628-0029-0027.png	berichtet dy zw sein winck leichten ambt vnd mwedia grosse anmutikait sein als er sechnt daz ein gelider	cgm628	train
cgm628-0029-0028	images/cgm628-0029-0028.png	ist er versincken und ver und am yglichs gelider	cgm628	train
cgm628-0036-0006	images/cgm628-0036-0006.png	gotleich gevnd geporn wurt dise freud ist alz grosz daz sy	cgm628	train
cgm628-0036-0007	images/cgm628-0036-0007.png	grant mer frucht ob euch das praself es yst pesser	cgm628	train
cgm628-0036-0008	images/cgm628-0036-0008.png	recht ader vnrecht sey gebar den es auch anech dan das	cgm628	train
cgm628-0036-0010	images/cgm628-0036-0010.png	aber ob ir den rechten weg ob wan daz gelit spricht zw	cgm628	train
cgm628-0036-0011	images/cgm628-0036-0011.png	ynwendin oder den brunnen wann die zwolff also	cgm628	train
cgm628-0036-0013	images/cgm628-0036-0013.png	beit wir disen siechen weg der der amleickait kerinden aber	cgm628	train
cgm628-0036-0014	images/cgm628-0036-0014.png	vnger gegangen von do wag dy sagt sprechen zu czwar	cgm628	val
cgm628-0036-0015	images/cgm628-0036-0015.png	habe in dem czweyffyn vber geenig sol mit wemb trinken Wait, let me re-examine this as a single continuous line. habe in dem czweyffyn vber geenig sol mit wemb trinken	cgm628	train
cgm628-0036-0016	images/cgm628-0036-0016.png	obersten grad daz sult jr	cgm628	train
cgm628-0036-0018	images/cgm628-0036-0018.png	geporn sol werden in der dritten kreis in dem hochsten	cgm628	train
cgm628-0036-0019	images/cgm628-0036-0019.png	wirt als groß freud in dem ewaz der wort verr amen	cgm628	train
cgm628-0036-0020	images/cgm628-0036-0020.png	geust daz dans mymat ge hochern weg gefint man	cgm628	train
cgm628-0036-0021	images/cgm628-0036-0021.png	sol nymmat do prey daz man aller pest dy full monte	cgm628	val
cgm628-0036-0022	images/cgm628-0036-0022.png	sy nydert auß zucht vnd sy trincken dar als sy kummen	cgm628	train
cgm628-0036-0023	images/cgm628-0036-0023.png	nit yn averdy winsen he	cgm628	train
cgm628-0036-0024	images/cgm628-0036-0024.png	beswer euch mit den gaussen den fur gomffen es sey in	cgm628	train
cgm628-0036-0025	images/cgm628-0036-0025.png	wecket noch hausse weckin weib es sey schewleich oder	cgm628	train
cgm628-0036-0028	images/cgm628-0036-0028.png	daz sy nymer wider ein kome druck da sy nit ausz mugen	cgm628	train
cgm628-0093-0001	images/cgm628-0093-0001.png	peinleichn vn ergerleichn wisset wo got vo hertzen nit	cgm628	train
cgm628-0093-0002	images/cgm628-0093-0002.png	hebt sich in der emstugen kam erde vn kam lon fem· krafft in der manig melch kinder dyse weg alle alz yr hie	cgm628	train
cgm628-0093-0003	images/cgm628-0093-0003.png	beleibe schedleichn con verlassn gehort habt ir musst mit	cgm628	train
cgm628-0093-0004	images/cgm628-0093-0004.png	alwirth dar inne voncomisset sey las geschorn weron das	cgm628	val
cgm628-0093-0005	images/cgm628-0093-0005.png	damit der ermistigist warhait fleisser sehaffain sol man wegen	cgm628	train
cgm628-0093-0006	images/cgm628-0093-0006.png	man kannt als man do war hait bekent darub hat man an dy strengen vrtail gotes von an sein vnbeweglich ge	cgm628	train
cgm628-0093-0008	images/cgm628-0093-0008.png	habn als es im in der wueste grobn gepresty sind ab gestornn Wait, let me look again more carefully. habn als es im in der wueste grobn geprestn sind ab gestornn	cgm628	train
cgm628-0093-0009	images/cgm628-0093-0009.png	wor spilt vn ist jm hundert so beleibn dorjn gem ewint dij	cgm628	train
cgm628-0093-0011	images/cgm628-0093-0011.png	am tieff versmehen der demu tigkait in dem valschen schein pild vnss herrn jhu xpi vnd sol recht ains einval mit dem	cgm628	train
cgm628-0093-0012	images/cgm628-0093-0012.png	vor jm selber vn auch vor andern aussetzlachen vn sol du	cgm628	val
cgm628-0093-0013	images/cgm628-0093-0013.png	ander der news geschafft sey als jnnerleich mit grossen	cgm628	train
cgm628-0093-0014	images/cgm628-0093-0014.png	licht in sich zu grunt druck	cgm628	train
cgm628-0093-0015	images/cgm628-0093-0015.png	dyse weis requiret fer yn den heit avend yn ym erloschen	cgm628	train
