cgm628-0012-0005	images/cgm628-0012-0005.png	sein es sez dich in einen und de nachnamen des	cgm628	train
cgm628-0012-0009	images/cgm628-0012-0009.png	nach fanteczer weiz mit kraft do heim kund kaim	cgm628	train
cgm628-0012-0010	images/cgm628-0012-0010.png	ain ainfeltigerweis das ist angeschriben costantzmentz	cgm628	train
cgm628-0012-0011	images/cgm628-0012-0011.png	am amg abster ono eme mps begrifin noti verster in	cgm628	train
cgm628-0012-0016	images/cgm628-0012-0016.png	gute mymbt lieb vnd laid er fegt das mynet leidt schaft	cgm628	train
cgm628-0012-0017	images/cgm628-0012-0017.png	bawr vnd fuess in ane warn cristen sein heylige mensch	cgm628	train
cgm628-0012-0018	images/cgm628-0012-0018.png	das ist also das liebhabent gothait dy kerlich anschuit	cgm628	train
cgm628-0012-0021	images/cgm628-0012-0021.png	da neun vnd newnzig hundert meschaft do ander winket hiesz er es der pleg rechten sich der lieben schaft vnd	cgm628	train
cgm628-0012-0023	images/cgm628-0012-0023.png	frucht yme aft also aft m bringt her za tet fy werke	cgm628	train
cgm628-0012-0024	images/cgm628-0012-0024.png	jm liebnatn lewin wenig vnnd auffern stiln	cgm628	train
cgm628-0012-0025	images/cgm628-0012-0025.png	also er das manigkleichs schaff	cgm628	train
cgm628-0012-0026	images/cgm628-0012-0026.png	vindet das er also geschichet durch dy verrechin pustin	cgm628	train
cgm628-0012-0027	images/cgm628-0012-0027.png	hab das mydt er auf dem fy winden fragen fy ften alle	cgm628	train
cgm628-0012-0028	images/cgm628-0012-0028.png	schulen oder aus sein lechsen vnd got zu seine frewnden von die werck dy wurckt got mit in vnd lebnt yn ewebe	cgm628	train
cgm628-0012-0029	images/cgm628-0012-0029.png	nachpawrn vnd spricht frawt euch mit mir wan ichs hab in got ey gen aus barmeschart vm dy goczhait vnd her wider	cgm628	train
cgm628-0013-0003	images/cgm628-0013-0003.png	und gesmidet do dem evelt auer gesmidet mag werden	cgm628	train
cgm628-0013-0004	images/cgm628-0013-0004.png	da geschenckt wirt auch die	cgm628	train
cgm628-0013-0005	images/cgm628-0013-0005.png	mit fleisß forcht vber all fürwd	cgm628	train
cgm628-0013-0006	images/cgm628-0013-0006.png	das die nacht vs gewan ob er die stat bracht in seinen	cgm628	train
cgm628-0013-0007	images/cgm628-0013-0007.png	sy alle zu hauff gespart vnnd wol vnd lungs wen er wil	cgm628	train
cgm628-0013-0008	images/cgm628-0013-0008.png	es sey durch dick selten oder durch	cgm628	train
cgm628-0013-0010	images/cgm628-0013-0010.png	ist gen der feind dy der geist	cgm628	train
cgm628-0013-0011	images/cgm628-0013-0011.png	hat in ystem als am tropffen waß heütte avort do sprechen dy engu gen dem tiessen mere das sind willigin meschen und dy geerhtin	cgm628	train
cgm628-0013-0012	images/cgm628-0013-0012.png	d kerst vs den das ewangeliu gelinden melotin do alse vorhen	cgm628	train
cgm628-0013-0013	images/cgm628-0013-0013.png	sprach das ainer frewd evan dunken sten vnd gestunden sein	cgm628	train
cgm628-0013-0014	images/cgm628-0013-0014.png	allen heyligen vn engeln so vierczk iar zu ablas geben	cgm628	train
cgm628-0013-0015	images/cgm628-0013-0015.png	sich an kinder bekert han tauben kopff vnd ain speichelfe	cgm628	train
cgm628-0013-0016	images/cgm628-0013-0016.png	czo hundert andir iawo tausent onarr full sichz loysn vondor gor	cgm628	train
cgm628-0013-0017	images/cgm628-0013-0017.png	wan got hat mer vnd licz sind dy kinder dy got in der vnd alle creaturn also lieb sind man sol dich sehem mit	cgm628	val
cgm628-0013-0018	images/cgm628-0013-0018.png	warhait gemacht haben swarn worten so freig alles	cgm628	train
cgm628-0013-0019	images/cgm628-0013-0019.png	Jn u beleibe fur vber ain in welher ampts wirdikait	cgm628	train
cgm628-0013-0020	images/cgm628-0013-0020.png	pfennigs den ain hew colorn man duch an kanndl das do	cgm628	train
cgm628-0013-0021	images/cgm628-0013-0021.png	hat vnd maty dy narwe ae	cgm628	val
cgm628-0013-0022	images/cgm628-0013-0022.png	fort dyfulln ynr furpas den folk dy wolden auch	cgm628	train
cgm628-0013-0024	images/cgm628-0013-0024.png	das wir vnd also lassen treten · · · · · · sten vns das aller senfftenn	cgm628	train
